question,sentence,sia_score
How can cells of the Tobacco Mosaic be seen?,Tobacco Mosaic is so small that it can only be seen with an electron microscope.,4.0
What happens with the gene flow between similar species of plants?,The gene flow between similar species of plants increases genetic diversity,4.0
Lack of what in the air causes low amounts of rainfall?,Lack of humidity in the air causes low amounts of rainfall.,4.0
What can cause plants to die?,Sulfur can cause plants to die.,4.0
Electron flow allows a battery to do what?,Powering an electrical device with a battery requires electron flow.,4.0
What is the process by which neurons are created?,Differentiation is the process by which neurons are created,4.0
Fog is formed from what condensing?,fog is condensed water vapor,4.0
What is important in the winter season?,insulated material is important in the winter season,4.0
What are organs of excretion?,Malpighian tubules are organs of excretion,4.0
Conserving what can be used for survival in a dry environment?,conserving sodium. can be used for survival in a dry environment,4.0
What can be found in moist soil near rivers and streams in tropical regions?,amphibians can be found in moist soil near rivers and streams in tropical regions,4.0
what do viruses often infect?,viruses often infect prokaryotes,4.0
What reproduces sexually?,clams reproduce sexually,4.0
How are plant cells around the vascular tissue created?,Plant cells around the vascular tissues are created by mitosis.,4.0
Leaves that keep the plant from what are used for storing water by some plants?,Leaves that keep the plant from drying out are used for storing water by some plants,4.0
When gardening what can be depleted of nutrients?,Dirt can be depleted of nutrients.,4.0
Plants require what for life-long learning?,Plants require water for life-long learning.,4.0
What can distracted driving cause?,distracted driving can cause death,4.0
What has a special excretory structure?,Insects have special excretory structures.,4.0
What causes the gravitational force exerted by an asteroid?,the mass of an asteroid caused the gravitational force exerted by that asteroid,4.0
what causes something to move?,engines cause something to move,4.0
What attracts bees to the flower?,Petals attract bees to the flower.,4.0
what conductor may become hot if exposed to heat?,a metal may become hot if exposed to heat,4.0
what is used to determine the age of fossils?,isotopes are used to determine the age of fossils,4.0
Some what with feathers are pollinators?,Some animals with feathers are pollinators.,4.0
"when a river floods, Cashion soils are what?","when a river floods, Cashion soils are deposited.",4.0
What is a flower's job?,A flower's purpose is to make new plants.,4.0
Microorganisms cause what inside of the cells of living organisms?,Microorganisms cause illness inside of the cells of living organisms,4.0
Flexible or strong might be words used to describe these parts of the body:,"Some bodily tissues are flexible, while others are strong.",4.0
what kind of spores can develop into new haploid individuals without being fertilized?,mushroom spores can develop into new haploid individuals without being fertilized,4.0
What do parents do after giving birth to their offspring?,Birth may be followed by parental nurturing,4.0
What is one thing fish cannot make?,Fish cannot make their own food.,4.0
An electrical conductor is required for the operation of:,Electricity uses an electrical conductor.,4.0
What can smoking tobacco cause?,Smoking tobacco may cause low-grade anemia resulting in low stamina.,4.0
What is lymph filtered by?,lymph is filtered by nodes,4.0
What can a plant be used to produce when it's burned?,Green plants can be used to produce electricity by burning,4.0
What happens when humans become sexually mature?,Breasts develop when humans become sexually mature.,4.0
Blowing what into a whistle causes sound?,blowing air into a whistle causes sound,4.0
The pull of what on the Earth's oceans cause the tides?,The gravitational pull of a natural satellite on Earth's oceans causes the tides,4.0
What forms due to unequal heating of Earth's surface by the Sun?,hurricanes form due to unequal heating of Earth's surface by the Sun,4.0
eyes are used for seeing by animals by sense of what?,eyes are used for seeing by animals by sense of vision,4.0
What characteristics do chordates have?,chordates have a backbone and jaws.,4.0
What produces less heat when cooking?,food is cooked in a microwave with less heat,4.0
what are found in place to indicate a place used to be covered by water?,if graptolites are found in a place then that place used to be covered by water,4.0
What prolongs the storage life of food in space?,Preservatives are added to food to prolong it's shelf life.,4.0
What are behavior that is intended to attract a mate?,Complex rituals are behavior that are intended to attract a mate.,4.0
What has decreased precipitation?,deserts have decreased precipitation,4.0
What is the small molecule that can squeeze through the pores of a eukaryotic cell?,RNA is a small molecule that can squeeze through the pores of a eukaryotic cell,4.0
What is caused by moving plates?,Mountains are formed by moving plates.,4.0
Which of the following can cause a living thing to die?,If a living thing gets hypothermia then that living thing will die.,4.0
Cells divide only a set number of times then experience what?,Cells divide only a set number of times then experience apoptosis,4.0
A mold spore has a negative impact on what?,a mold spore has a negative impact on breathing,4.0
What should you do to a surface to make sure it doesn't have bacteria on it?,Any surface that has not been cleaned is likely to be covered with bacteria.,4.0
Female parents of what produce eggs inside the ovaries of flowers?,female parents of a baby fern produce eggs inside the ovaries of flowers.,4.0
What creates fantastic rock formations?,Wind creates fantastic rock formations.,4.0
What transforms electrical energy to kinetic energy?,an electric stove transforms electrical energy to kinetic energy,4.0
What can be used to separate a solute from a solvent in a solution?,Heating liquids can be used to separate a solute from a solvent in a solution.,4.0
"what converts carbon dioxide, water, and solar energy into carbohydrates for themselves?","green plants convert carbon dioxide, water, and solar energy into carbohydrates for themselves",4.0
What does solar power reduce?,Using solar power reduces greenhouse gasses,4.0
What can cause a  more powerful reaction?,Higher temperatures can lead to a powered reaction.,4.0
Which planet has the strongest pull of gravity?,"Of all planets, Jupiter has the strongest pull of gravity. ",4.0
How does urine leave the body?,Urine leaves the body through the urinary system,4.0
If pee doesn't leave the body through a sphincter very often what color will it be?,If pee leaves the body through a sphincter infrequently it will be dark yellow,4.0
What has a circulatory system with one or two hearts that pump blood?,abalone have a circulatory system with one or two hearts that pump blood.,4.0
what have special structures for penetrating a host?,mold have special structures for penetrating a host,4.0
what can be painful and dangerous?,ultraviolet light can be painful and dangerous,4.0
What has radial symmetry?,sea urchins have radial symmetry,4.0
what is used for measuring time?,a Rolex is used for measuring time,4.0
What is the period of most rapid advancement?,Infancy is the period of most rapid advancement,4.0
What can keep a home warm?,Cellulose material can be used to keep a home warm.,4.0
what uses thirst to realize it needs to replenish its bodily water?,thirst is used to make chickens realize they need to replenish its bodily water,4.0
Chemical weathering causes iron in rock to combine with what?,Chemical weathering causes iron in rock to combine with oxygen,4.0
what can abnormal cells do uncontrollably?,abnormal cells can divide uncontrollably,4.0
Molecules of _ initiate protein synthesis,Molecules of tRNA initiate protein synthesis,4.0
What divides into two parts to reproduce?,Yeast divides into two parts to reproduce,4.0
How can an animal learn actions?,Actions can be learned through play.,4.0
What are used to move people?,buses are used for moving people,4.0
Why are marine fossils in the interior of a continent?,Marine fossils are in the interior of a continent because it used to be covered by water,4.0
what are proteins made?,proteins are made inside the nucleus,4.0
What animal can help lakes to form?,Beavers help lakes to form.,4.0
What do sense organs help bullfrogs do?,Bullfrogs can smell and taste chemicals through sense organs.,4.0
what ignites easily?,gasoline ignites easily,4.0
How does energy get wasted in a wire?,High currents waste energy by heating up the wire,4.0
some soils are more sensitive than others to a lowered what,some soils are more sensitive than others to a lowered pH,4.0
Organisms cluster around vents found in the same place as what?,Organisms cluster around hydrothermal vents where lobsters are found,4.0
What stimulates the reproductive system to form male organs in growth?,Male hormones stimulated the reproductive organs to develop into male organs.,4.0
amphibians are the first true what with four limbs?,amphibians are the first true animals with backbones with four limbs,4.0
what is caused to form from condensing?,condensing causes water to form,4.0
what provides more sunlight to surrounding plants by falling?,if a pine falls then sunlight becomes available to the surrounding plants,4.0
a rainbow is formed by what into all different colors?,a rainbow is formed by diffraction into all different colors,4.0
"What are not cells at all, so they are neither prokaryotes nor eukaryotes?","The smallest agents of disease are not cells at all, so they are neither prokaryotes nor eukaryotes.",4.0
high mountains with well-rounded peaks can be formed by collision of what?,high mountains with well-rounded peaks can be formed by collision of plate tectonics,4.0
What through phones is transmitted through optical fibers?,Communication through phones is transmitted through optical fibers,4.0
gases from burning coal and oil dissolving in water can harm what?,gases from burning coal and oil dissolving in water can harm plant life,4.0
What are kids fascinated with moving?,Kids are fascinated with moving people,4.0
High temperatures can cause objects to what?,High temperatures can cause objects to explode.,4.0
what is a stopwatch used to measure?,a stopwatch is used to measure seconds,4.0
What does electricity help humans do?,electricity helps humans live in cold climates,4.0
Aging occurs as _  stops,Aging occurs as mitosis stops,4.0
What is normally deposited during sex into the woman's reproductive organ?,"During sex, sperm is deposited into the woman's reproductive organ.",4.0
What helps producers make food?,Decomposition helps producers make food.,4.0
