question,sentence,sia_score
"If an apple tree wanted to spread it's seeds via another entity, it would",attract birds,4.0
An unusual use for a flashlight may be,hand warmer,4.0
In which situation might most rescues be conducted via air?,flooding,4.0
"If birds are singing, the sun is shining, and temps are high, then",luminescence is long,4.0
A moth can metamorphosize when,it releases itself from a self-made chamber,4.0
"A man is burned in an accident on the road, which means that at one point he was",exposed to extreme heat,4.0
Which likely could replace the sun in our solar system?,another star,4.0
a typical rabbit diet includes,weeds,4.0
A smack on a wooden board can be heard a mile away,because sound vibrates through atmosphere,4.0
a person places a dime next to an object on a table. The dime moves toward the object on its own. Which of these is likely to be that object?,a piece of carbon steel,4.0
"In NYC, what would you expect during December?",less day light,4.0
As water gets warmer,it can turn ice into a puddle faster,4.0
The running and moving liquid fluid during a storm causes what,weather damage,4.0
What is the source of energy for life on earth?,astral star,4.0
Converting electricity into different types of energy may be done by,DVD players,4.0
Where's the best place to mine for coal?,mountains,4.0
Algae perform photosynthesis and so they are like to be found where in a body of water?,top,4.0
a switch turns something with a power source on because:,a piece of copper closes the circuit,4.0
Light produced by deep sea animals is used for?,Catching Pray,4.0
Which is able to create its own nourishment from sunlight?,roses,4.0
Some animals change their appearance completely during a stage of the life cycle known as,metamorphosing,4.0
Many species have small amounts of magnetite to guide during their,migration,4.0
John was able to read at night even though the electricity had gone out. John was using,an item made from a petroleum product with a cord sticking out the top,4.0
A protected environment will probably be,fenced,4.0
What might you use for heat?,a mini flashlight,4.0
the arctic area is full of,white powder,4.0
"During a sandstorm, a bird looks for a",bush,4.0
Winter in the northern hemisphere is occurring on,the day after November 30th,4.0
Marshmallows plus ____ technically make a different substance.,fire,4.0
Deposition is caused by what?,forceful gales,4.0
Which is most accurate?,melting is when solids are heated above their melting point; freezing is when solids are cooled from liquid to solid,4.0
Hot water is best when you want to,cleanse your hands,4.0
Which orbits a star?,Neptune,4.0
Examples of hypothesis is,Drinking sugary drinks daily leads to obesity,4.0
Solar energy comes from the sun and does which positive thing?,sustains mammals,4.0
"If you touch a wall wart which hasn't been on in weeks, it'll feel",cold,4.0
A scale can measure,guitar picks,4.0
When it gets dark the earliest in California it is,the time Australia is closest to the sun,4.0
"In an arid location, any various lifeforms will have to",work harder for nutriment,4.0
What does a hand dryer produce?,hotness,4.0
Chemical reactions can be the cause of new formations of which?,Substances,4.0
Where would an archaeologist likely find an impression of an ancient footprint?,under layers of dirt,4.0
What should I do to remain healthy,Make sure to get some shut lids,4.0
"When a microfiber towel is used to pick up a puddle of milk, the towel then",contains the milk,4.0
A pollutions standard is something which,will hopefully limit the amount of damage done to the environment by large producers,4.0
Which is a complete circuit?,a refrigerator that is running,4.0
The sun setting occurs,28 days in February,4.0
A skunk produces a bad what?,nose experience,4.0
Which animal travels great distance as part of its instinctive behavior?,a raven,4.0
Roses utilize chlorophyll to,take in sun rays,4.0
What does girth in a flower do?,increases the pollenator amount,4.0
Which of the following likely make up a path for electrical energy to travel to a device?,steel or copper,4.0
If silt and such is making its way down a flowing path,sand will be stacked,4.0
"Things that are shiny can reflect light, so all of these will aside from",outlet,4.0
Who's health does illness impact?,an animate object,4.0
Which of these things will supplement a squirrel's caloric needs?,nuts,4.0
Where is a mama bear likely to find food?,in the inside of a felled oak,4.0
Venus fly traps are poor at creating their own food though photosynthesis because,they require insects,4.0
"A flamingo may be able to run across a pond easier than a human, sparrow or a cat because it has",webbed feet,4.0
MRIs can make,fillings dance,4.0
A parent may genetically share with a child of their own conception,many freckles,4.0
diamonds exist because of the existence of,raw carbon,4.0
Which would be excluded from a list of objects with metallurgical properties?,bone,4.0
Why animal may use a rock as shelter,Centipede,4.0
What do some animals use to adapt to hot temperatures?,perspiration,4.0
