question,passage_title,sia_score
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,Radio City (Indian radio station),0.26
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,History of Albanian football,0.26
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,Echosmith,0.22
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,Women's colleges in the Southern United States,0.85
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,First Arthur County Courthouse and Jail,0.36
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,Arthur's Magazine,1.29
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,2014–15 Ukrainian Hockey Championship,0.11
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,First for Women,1.31
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,Freeway Complex Fire,0.17
Which magazine was started first Arthur's Magazine or First for Women?Arthur's Magazine,William Rast,0.23
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Ritz-Carlton Jakarta,1.24
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Oberoi family,3.0
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Ishqbaaaz,0.68
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Hotel Tallcorn,0.56
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Mohan Singh Oberoi,1.67
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Hotel Bond,0.68
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,The Oberoi Group,2.97
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Future Fibre Technologies,0.6
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,289th Military Police Company,1.01
The Oberoi family is part of a hotel company that has a head office in what city?Delhi,Glennwanis Hotel,0.7
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Lisa Simpson,1.19
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Marge Simpson,1.39
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Bart Simpson,1.34
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Allie Goertz,1.26
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Milhouse Van Houten,2.23
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Los Angeles Reader,0.71
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",Homer Simpson,1.47
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",List of The Simpsons video games,1.33
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon","The Simpsons: An Uncensored, Unauthorized History",1.17
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?President Richard Nixon",List of The Simpsons guest stars,1.42
 What nationality was James Henry Miller's wife?American,"Moloch: or, This Gentile World",1.2
 What nationality was James Henry Miller's wife?American,"Launceston by-election, 1874",0.31
 What nationality was James Henry Miller's wife?American,Incest: From a Journal of Love,0.82
 What nationality was James Henry Miller's wife?American,James Henry Deakin (junior),0.57
 What nationality was James Henry Miller's wife?American,Ewan MacColl,1.12
 What nationality was James Henry Miller's wife?American,Peggy Seeger,1.0
 What nationality was James Henry Miller's wife?American,Henry Miller Memorial Library,1.09
 What nationality was James Henry Miller's wife?American,June Miller,1.7
 What nationality was James Henry Miller's wife?American,"James Innes-Ker, 7th Duke of Roxburghe",0.61
 What nationality was James Henry Miller's wife?American,"Jim Miller (Australian footballer, born 1919)",0.71
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Cadmium chloride,1.88
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Water blue,1.59
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Diflucortolone valerate,1.22
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Heptanoic acid,1.39
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Magnesium chloride,1.58
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Ethanol,1.38
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?alcohol",Tributyltin oxide,1.37
